Stock,Status,Type,Buy Date,Buy Price,Qty,SL Price,Portfolio,Sell Date,Sell Price,EM Prev Day,EM Entry Day,Setup,Exit Reason,Market State,Notes
EIEL,Closed,Real,11/05/2026,221.46,1,203.81,100000,12/05/2026,203.81,25.36,18.61,Anticipation Buy,,,
ELLEN,Closed,Real,11/05/2026,302.45,1,281.95,100000,14/05/2026,281.95,25.36,18.61,,,,
HBLENGINE,Closed,Real,11/05/2026,843.4,1,799.05,100000,12/05/2026,799.05,25.36,18.61,,,,
KMEW,Open,Real,11/05/2026,2166.7,1,,100000,,,25.36,18.61,,,,
PRIVISCL,Open,Real,11/05/2026,3468.6,1,,100000,,,25.36,18.61,,,,
SHRIPISTON,Closed,Real,11/05/2026,3618.7,1,3474,100000,12/05/2026,3474,25.36,18.61,,,,
SMSPHARMA,Closed,Real,11/05/2026,430.25,1,400.15,100000,12/05/2026,400.15,25.36,18.61,,,,
UNIPARTS,Closed,Real,11/05/2026,570.35,1,533.3,100000,14/05/2026,533.3,25.36,18.61,,,,
BLISSGVS,Open,Real,12/05/2026,283.93,2,,100000,,,18.61,10.76,,,,
AUROPHARMA,Closed,Real,14/05/2026,1518.5,1,1495.1,100000,22/05/2026,1495.1,11.16,11.35,,,,
DIACABS,Open,Real,14/05/2026,196.52,11,,100000,,,11.16,11.35,,,,
GABRIEL,Closed,Real,14/05/2026,1112.8,1,1112.6,100000,26/05/2026,1112.6,11.16,11.35,,,,
ARMANFIN,Closed,Real,18/02/2026,1693.88,5,1384.8,100000,06/03/2026,1384.8,10.85,11.26,,,,
AEROFLEX,Open,Real,20/05/2026,384.35,1,,100000,,,7.42,7.58,,,,
FREDUN,Closed,Real,20/05/2026,2450,1,2319.9,100000,25/05/2026,2319.9,7.42,7.58,,,,
GPIL,Closed,Real,20/05/2026,310.9,1,283.05,100000,27/05/2026,283.05,7.42,7.58,,,,
GRANULES,Open,Real,20/05/2026,759.15,1,,100000,,,7.42,7.58,,,,
GVT&D,Open,Real,20/05/2026,4694,1,,100000,,,7.42,7.58,,,,
KIRLPNU,Open,Real,20/05/2026,1588.1,1,,100000,,,7.42,7.58,,,,
KISSHT,Closed,Real,20/05/2026,230.58,1,226.9,100000,20/05/2026,226.9,7.42,7.58,,,,
MANINDS,Closed,Real,20/05/2026,589.9,2,561.9,100000,21/05/2026,561.9,7.42,7.58,,,,
NH,Open,Real,20/05/2026,1914,1,,100000,,,7.42,7.58,,,,
BAJAJCON,Open,Real,22/05/2026,553.75,2,,100000,,,10.13,11.41,,,,
NAVINFLUOR,Open,Real,22/05/2026,7092.5,1,,100000,,,10.13,11.41,,,,
CYIENTDLM,Closed,Real,26/05/2026,441,1,432,100000,26/05/2026,432,15.42,16.73,,,,
MOTILALOFS,Open,Real,26/05/2026,874,1,,100000,,,15.42,16.73,,,,
SJS,Open,Real,26/05/2026,2024,1,,100000,,,15.42,16.73,,,,
THYROCARE,Open,Real,26/05/2026,495,1,,100000,,,15.42,16.73,,,,
WOCKPHARMA,Open,Real,26/05/2026,1655,1,,100000,,,15.42,16.73,,,,
INOXINDIA,Open,Real,27/05/2026,1507.3,1,,100000,,,17,19,,,,
RRKABEL,Closed,Real,27/05/2026,2019.6,1,1986.3,100000,27/05/2026,1986.3,17,19,,,,
